year,date,open,high,low,close,volume
2015,7/28/15,107.29,107.94,103.88,106.9,11155945
2015,7/29/15,106.83,107.75,105.4,107.08,6695640
2015,7/30/15,106.4,111.9,105.4,111.56,14229196
2015,7/31/15,111.95,115,111.15,114.31,16349071
2015,8/3/15,114.6,114.6,111.78,112.56,10144817
2015,8/4/15,113.15,122.79,113,121.15,29653323
2015,8/5/15,125.62,129.29,122.705,123.71,26831246
2015,8/6/15,126.29,128.85,122.04,126.45,24716746
2015,8/7/15,126.42,126.6,121.3,123.52,17360669
2015,8/10/15,126.09,126.5,121.51,123.03,13424574
2015,8/11/15,120.01,123.76,120,122.74,11596811
2015,8/12/15,121.47,122.45,118.66,120.51,13881612
2015,8/13/15,120.99,125.73,119.34,123.73,15284397
2015,8/14/15,124.96,125,123,123.39,8667683
2015,8/17/15,123.14,125.7,122.59,125.36,9233848
2015,8/18/15,125.26,126.749,123.55,124.05,9381994
2015,8/19/15,123.5,123.7,121.5,122.06,10115271
2015,8/20/15,119.8,121.45,111.34,112.49,28045318
2015,8/21/15,106.2,110,102.751,103.96,33228296
2015,8/24/15,88.75,109.63,85.5,96.88,59951948
2015,8/25/15,107.75,107.88,101.5,101.52,37620719
2015,8/26/15,107.15,110.28,102.02,110.13,36164638
2015,8/27/15,114.94,118.25,113.02,117.66,37056071
2015,8/28/15,116.46,119.35,115.88,117.63,20240237
2015,8/31/15,115.24,117,113.76,115.03,17005581
2015,9/1/15,109.36,111.24,103.82,105.79,35977081
2015,9/2/15,109.31,109.5,100.3,105.44,39843254
2015,9/3/15,102.69,104.17,100.11,101.06,29546652
2015,9/4/15,98.05,99.928,97.34,98.79,24211978
2015,9/8/15,102.08,102.5,93.55,94.95,43479650
2015,9/9/15,96.51,102.79,95.52,99.18,35524441
2015,9/10/15,99.42,100.85,96.78,99.48,21031866
2015,9/11/15,98.57,100.85,97.23,97.51,17373920
2015,9/14/15,96.84,97.91,94.33,95.69,15545991
2015,9/15/15,95.22,99.65,93.61,99.16,22591084
2015,9/16/15,99.7,104.48,99.33,104.08,28058216
2015,9/17/15,103.67,107.5,101.83,104.21,25817651
2015,9/18/15,102,104.36,100.71,102.62,21715034
2015,9/21/15,103.3,103.77,99.5568,100.3,17900624
2015,9/22/15,98.29,99.9,97,98.47,16717919
2015,9/23/15,98.6,99.74,97.66,98.07,10264540
2015,9/24/15,97.11,104,96.78,103.76,21274471
2015,9/25/15,105.3,105.4487,101.57,102.24,19066632
2015,9/28/15,101.57,103.3275,97.8414,99.47,16895926
2015,9/29/15,99.63,100.63,96.85,98.35,17405941
2015,9/30/15,99.91,103.46,99.05,103.24,16302867
2015,10/1/15,102.91,106.11,101.12,105.98,17426948
2015,10/2/15,103.01,106.87,101.45,106.11,21526717
2015,10/5/15,107.48,112.28,105.76,111.25,21157937
2015,10/6/15,110.33,112.25,105.64,108.33,20836303
2015,10/7/15,108.84,109.78,106.75,108.1,12329535
2015,10/8/15,107.94,115.05,102.6,114.93,42831944
2015,10/9/15,114.11,115.83,112.44,113.33,22455205
2015,10/12/15,114.45,115.42,112.36,113.45,12624497
2015,10/13/15,112.85,113.72,108.78,109.73,17512118
2015,10/14/15,111.5,111.63,108.05,110.23,33231481
2015,10/15/15,103.77,104.88,99.1,101.09,48484328
2015,10/16/15,100.21,101.65,98.41,98.99,21340511
2015,10/19/15,98.07,103.62,96.26,101.69,29964714
2015,10/20/15,101.06,102.11,97.58,98.99,17345614
2015,10/21/15,99.67,100.34,97.01,97.96,13759583
2015,10/22/15,98.07,99.93,96.86,97.32,12786768
2015,10/23/15,97.61,101.56,97.27,100.04,18019886
2015,10/26/15,100.05,103.31,99.38,103.04,12234824
2015,10/27/15,102.58,104.72,101.23,103.07,12066402
2015,10/28/15,102.9,106.21,102.06,105.8,13093962
2015,10/29/15,105,106.91,104.75,105.12,9841406
2015,10/30/15,105.12,110.1,104.9,108.38,15571468
2015,11/2/15,109.2,109.37,106.3,107.64,11784573
2015,11/3/15,107.36,111.05,107.24,109.74,12484136
2015,11/4/15,110.36,114.28,109.39,114.05,17505023
2015,11/5/15,113.75,115.68,111.72,113.5,13814939
2015,11/6/15,113.39,114.8,112.05,114.06,10936608
2015,11/9/15,113.36,114,108.64,109.86,16154632
2015,11/10/15,108.86,112.84,108.01,112.7,11166372
2015,11/11/15,113.08,114.61,111.41,112.86,11039154
2015,11/12/15,112.52,115.25,108.2,108.92,17568163
2015,11/13/15,108.34,109.07,103.27,103.65,18819418
2015,11/16/15,102.97,111.65,101.86,111.35,19866161
2015,11/17/15,112.11,118.79,111.7,117.1,32971616
2015,11/18/15,117.94,121,116.1,120.63,23353565
2015,11/19/15,120.25,123.13,119.61,120.22,19253236
2015,11/20/15,120.85,124.07,119.21,123.84,17977001
2015,11/23/15,124.3,126.2,121.66,125.03,15726984
2015,11/24/15,123.67,124.66,120.03,123.31,18335255
2015,11/25/15,124.23,125.2,122.36,124.16,10980677
2015,11/27/15,123.85,126.39,123.59,125.44,6645484
2015,11/30/15,126.03,126.6,122.89,123.33,13894031
2015,12/1/15,124.47,125.57,122.42,125.37,12550755
2015,12/2/15,125.53,131.35,124.93,128.93,24105712
2015,12/3/15,129.62,132.2,126.39,126.81,26647260
2015,12/4/15,127,130.99,125.75,130.93,20250411
2015,12/7/15,131.19,133.27,122.75,125.36,23351610
2015,12/8/15,121.51,128.24,121.1,126.98,18591147
2015,12/9/15,127.7,128.78,122.33,124.2,17788797
2015,12/10/15,124.5,125.21,121.62,122.91,13474119
2015,12/11/15,121.45,123,118.6,118.91,16105315
2015,12/14/15,119.77,120.9,114.66,120.67,18735608
2015,12/15/15,121.93,123.3,118.54,118.6,11759993
2015,12/16/15,119.8,123,118.09,122.64,13180982
2015,12/17/15,123.97,126.35,122.42,122.51,17284872
2015,12/18/15,120.85,122.19,117.92,118.02,17948060
2015,12/21/15,119.51,119.59,115.66,116.63,11669993
2015,12/22/15,117.3,117.43,114.86,116.24,9689044
2015,12/23/15,116.91,118.56,115.78,118.16,9324333
2015,12/24/15,118.22,118.8,117.3,117.33,3541403
2015,12/28/15,117.26,117.35,113.85,117.11,8424276
2015,12/29/15,118.19,119.6,116.92,119.12,8159211
2015,12/30/15,118.95,119.02,116.43,116.71,8149686
2015,12/31/15,116.21,117.46,114.28,114.38,9273008
2016,1/4/16,109,110,105.21,109.96,20794848
2016,1/5/16,110.45,110.58,105.85,107.66,17664562
2016,1/6/16,105.29,117.91,104.96,117.68,33045656
2016,1/7/16,116.36,122.18,112.29,114.56,33636661
2016,1/8/16,116.33,117.72,111.1,111.39,18067140
2016,1/11/16,112.13,116.79,111.2,114.97,21920390
2016,1/12/16,116.11,117.78,115.08,116.58,15133522
2016,1/13/16,114.43,114.48,104.53,106.56,24921587
2016,1/14/16,105.65,109.25,101.21,107.06,23664784
2016,1/15/16,102.43,105.5,101.72,104.04,19775141
2016,1/19/16,106.57,110.14,105.55,107.89,35722752
2016,1/20/16,108.91,109.99,97.0501,107.74,53009419
2016,1/21/16,108.32,108.51,102.1,102.35,31027503
2016,1/22/16,104.7225,104.99,99.22,100.72,26821771
2016,1/25/16,99.78,102.68,99,99.12,20321102
2016,1/26/16,99.74,100.55,94.85,97.83,22083897
2016,1/27/16,96.61,97.8495,90.59,91.15,25556187
2016,1/28/16,93.84,95.25,90.11,94.41,24562311
2016,1/29/16,92,94.39,90.63,91.84,20463895
2016,2/1/16,91.79,97.18,91.3,94.09,19684477
2016,2/2/16,95.54,96.65,90.73,91.49,21906495
2016,2/3/16,92.41,92.69,86.14,90.74,27466034
2016,2/4/16,89.5,91.25,86.54,89.71,19108600
2016,2/5/16,88.23,88.95,81.86,82.79,25929257
2016,2/8/16,80.57,84.7,79.95,83.32,25035634
2016,2/9/16,81.75,88.4,81.55,86.13,25892874
2016,2/10/16,89,92.21,87.42,88.45,23146517
2016,2/11/16,87.42,88.39,82.911,86.35,21820321
2016,2/12/16,86.64,89.72,85.26,87.4,19067683
2016,2/16/16,89,90.14,87.54,89.05,16356604
2016,2/17/16,90.13,94.77,89.64,94.76,18323834
2016,2/18/16,94.8,94.9,90.31,90.49,17695324
2016,2/19/16,89.98,91.4,88.03,89.23,14259205
2016,2/22/16,90.75,93.11,88.3,91.93,16321822
2016,2/23/16,91.4,92.49,89.05,89.12,12744428
2016,2/24/16,88.5,91.76,86.7,91.61,15972819
2016,2/25/16,91.08,94.81,90.21,94.53,17898777
2016,2/26/16,95.3,97.48,94.25,94.79,16975151
2016,2/29/16,94.81,97.2,93.34,93.41,13663080
2016,3/1/16,94.58,99.16,93.61,98.3,17048790
2016,3/2/16,98.01,99.48,95.9,97.61,19102849
2016,3/3/16,97.83,98.35,95.39,97.93,15320921
2016,3/4/16,98.76,102.22,98.32,101.58,23414622
2016,3/7/16,101,101.79,95.25,95.49,23906672
2016,3/8/16,95,98.28,94.5,96.23,14710898
2016,3/9/16,96.82,98.37,95,98,12298660
2016,3/10/16,98.18,99.74,95.45,97.36,17002063
2016,3/11/16,99.51,99.6,96.05,97.66,15114299
2016,3/14/16,97.2,99.42,97.17,98.13,11251874
2016,3/15/16,97.87,98.51,96.43,97.86,9691768
2016,3/16/16,97.53,99.73,97.5,99.35,12630530
2016,3/17/16,99.05,101.39,99,99.72,13824964
2016,3/18/16,100.5,102.41,100.01,101.12,15453454
2016,3/21/16,101.15,102.1,99.5,101.06,9578466
2016,3/22/16,100.48,101.52,99.2,99.84,9069905
2016,3/23/16,99.75,100.39,98.81,99.59,8313480
2016,3/24/16,98.64,98.85,97.07,98.36,10671139
2016,3/28/16,98.34,101.44,97.82,101.21,12432217
2016,3/29/16,101.08,104.33,101,104.13,16008868
2016,3/30/16,104.65,104.91,101.4805,102.19,14704994
2016,3/31/16,102.43,103.53,101.05,102.23,9747539
2016,4/1/16,102.93,105.79,102.47,105.7,14182359
2016,4/4/16,105.9,105.92,103.2,104.35,10940426
2016,4/5/16,103.47,105.75,103.25,104.94,10060916
2016,4/6/16,105.3,106.44,104.25,104.83,9605800
2016,4/7/16,104.31,106.435,103.6,104.45,10774911
2016,4/8/16,105.12,105.326,102.82,103.81,7857592
2016,4/11/16,104.04,104.98,102.62,102.68,7451315
2016,4/12/16,103.15,107.22,102.21,106.98,12436982
2016,4/13/16,108,111.28,107.88,109.65,16701709
2016,4/14/16,110.01,111.64,109.15,110.42,9553688
2016,4/15/16,110.64,111.85,109.7803,111.51,11746065
2016,4/18/16,109.9,110.7,106.02,108.4,32816416
2016,4/19/16,99.49,101.37,94.2,94.34,55728765
2016,4/20/16,94.34,96.98,93.14,96.77,26613506
2016,4/21/16,97.31,97.38,94.78,94.98,19919415
2016,4/22/16,94.847,96.69,94.21,95.9,15806320
2016,4/25/16,95.7,95.7461,92.8,93.56,14985382
2016,4/26/16,93.5,93.55,91.25,92.43,15330856
2016,4/27/16,92.18,92.5,90.21,91.04,12218929
2016,4/28/16,91.5,92.67,90.09,90.28,11474907
2016,4/29/16,90.5,90.56,88.21,90.03,13968018
2016,5/2/16,90.41,93.22,89.8901,93.11,12547005
2016,5/3/16,92.08,93.25,91.3,91.54,10593880
2016,5/4/16,91,92.16,90.35,90.79,7394742
2016,5/5/16,90.91,92.0775,89.25,89.37,10368491
2016,5/6/16,88.83,90.88,88.11,90.84,10433936
2016,5/9/16,90.73,91.828,89.9,90.54,9543705
2016,5/10/16,91.14,93.25,91.09,92.89,11175913
2016,5/11/16,92.4,92.59,89.9,90.02,11692864
2016,5/12/16,90.32,90.41,85.74,87.74,20408118
2016,5/13/16,87.39,88.59,86.26,87.88,11571389
2016,5/16/16,87.56,90,86.15,89.12,11247812
2016,5/17/16,89,90.87,88.172,88.63,11571267
2016,5/18/16,88.25,91.72,88.25,90.5,13911836
2016,5/19/16,90.16,91.27,88.3,89.55,11450323
2016,5/20/16,90.08,93.28,89.98,92.49,15063042
2016,5/23/16,92.98,95.2924,92.85,94.89,13992330
2016,5/24/16,95.98,99.14,95.75,97.89,21246023
2016,5/25/16,99,100.31,98.3,100.2,15211295
2016,5/26/16,103.21,104,101.38,102.81,17824673
2016,5/27/16,102.44,103.5,101.44,103.3,9092127
2016,5/31/16,102.95,103.45,102.13,102.57,8725656
2016,6/1/16,101.5,101.92,100.16,101.51,8393380
2016,6/2/16,101.39,102.15,100.77,101.25,7992448
2016,6/3/16,100.99,101,98.53,99.59,9223994
2016,6/6/16,100.29,101.0712,99.72,100.74,6828128
2016,6/7/16,101.2,101.63,99.77,99.89,6474742
2016,6/8/16,100.02,100.28,97.6,97.86,9423938
2016,6/9/16,97.22,98.433,96.664,97.09,8923803
2016,6/10/16,94.88,95.35,93.28,93.75,12907900
2016,6/13/16,95.02,97.2,93.62,93.85,13484345
2016,6/14/16,94.16,95.8,93.27,94.12,9480388
2016,6/15/16,94.61,95.46,93.5,94.29,7675449
2016,6/16/16,94.18,95.56,93.2474,95.44,7550774
2016,6/17/16,95.75,95.77,94.2,94.45,8046841
2016,6/20/16,95.22,95.88,93.65,93.8,9026376
2016,6/21/16,93.87,93.88,90.77,90.99,15199727
2016,6/22/16,90.78,91.98,89.77,90.01,9454685
2016,6/23/16,90.62,91.68,88.15,91.66,10819033
2016,6/24/16,87.53,90.49,87.21,88.44,11248582
2016,6/27/16,87.88,88,84.81,85.33,13775706
2016,6/28/16,87.41,88.88,86.41,87.97,11545631
2016,6/29/16,89.67,91.97,88.7,91.06,11687079
2016,6/30/16,90.91,91.7201,89.9,91.48,9098971
2016,7/1/16,95,97,94.8,96.67,16167210
2016,7/5/16,95.2,101.27,93.31,97.91,25879367
2016,7/6/16,95.03,96,93.55,94.6,16301211
2016,7/7/16,94.7,95.38,93.18,95.1,9913509
2016,7/8/16,96,97.41,95.3,97.06,8335375
2016,7/11/16,96.19,96.869,94.3,94.67,13276161
2016,7/12/16,95.07,96.72,94.09,95.97,11617410
2016,7/13/16,96.26,96.72,94.8,96.43,8768863
2016,7/14/16,97,98.27,96.8,98.02,9885009
2016,7/15/16,98.52,98.7,97.41,98.39,9041865
2016,7/18/16,98.43,99.84,97.24,98.81,28669659
2016,7/19/16,85.43,86.75,84.5,85.84,55681209
2016,7/20/16,86.67,88.49,85.82,87.91,23525141
2016,7/21/16,88.3,88.38,85.21,85.99,16083996
2016,7/22/16,86.48,86.5,85.11,85.89,11363917
2016,7/25/16,85.73,87.87,85.01,87.66,14135027
2016,7/26/16,91.03,93.1,90.9,91.41,19577623
2016,7/27/16,91.5,92.06,90.1,92.04,8727517
2016,7/28/16,91.92,92.21,90.68,91.65,6227698
2016,7/29/16,91.19,91.749,90.59,91.25,6960222
2016,8/1/16,91.23,94.67,90.5,94.37,10666945
2016,8/2/16,94,94.08,92.18,93.56,9836233
2016,8/3/16,93.28,94.67,92.55,93.1,7030916
2016,8/4/16,93.2,93.7319,91.82,93.44,6043394
2016,8/5/16,93.77,97.74,93.56,97.03,18364801
2016,8/8/16,95.91,95.93,94,95.11,10135401
2016,8/9/16,95.12,95.81,93.48,93.99,9175413
2016,8/10/16,94.4,94.75,92.95,93.93,6511142
2016,8/11/16,94.6,96.33,94.37,95.89,8547659
2016,8/12/16,95.53,96.83,95.08,96.59,6592923
2016,8/15/16,96.83,96.91,95.24,95.31,7304620
2016,8/16/16,95.19,95.61,94.4,95.12,6311339
2016,8/17/16,94.94,96.93,94.85,96.37,8315615
2016,8/18/16,95.98,97.2168,95.17,96.16,7252629
2016,8/19/16,96.05,96.78,95.51,95.87,6942892
2016,8/22/16,95.67,96.13,94.95,95.26,5830548
2016,8/23/16,95.68,96.59,95.48,95.94,5239106
2016,8/24/16,96.13,96.36,94.91,95.18,6276468
2016,8/25/16,96.38,98.245,96.04,97.32,10823055
2016,8/26/16,97.33,97.95,96.57,97.58,6617636
2016,8/29/16,96.97,98.4497,96.57,97.3,8008430
2016,8/30/16,97.84,98.85,97.14,97.45,6093536
2016,8/31/16,97.48,97.88,96.76,97.45,4690614
2016,9/1/16,97.81,97.98,96.916,97.38,4148621
2016,9/2/16,97.9,98.18,97.01,97.38,4247182
2016,9/6/16,97.76,100.32,97.649,100.09,9036092
2016,9/7/16,100.11,100.19,98.42,99.15,6468512
2016,9/8/16,99.23,100.05,98.82,99.66,5201208
2016,9/9/16,99.06,99.39,96.5,96.5,7373319
2016,9/12/16,95.91,99.29,95.71,99.05,7718351
2016,9/13/16,97.17,98,95.33,96.09,11788078
2016,9/14/16,97.35,98.35,96.96,97.01,8528450
2016,9/15/16,97.23,97.97,96.53,97.34,5299930
2016,9/16/16,97.1,99.49,97.04,99.48,9445109
2016,9/19/16,99.9,100.35,97.82,98.06,8616183
2016,9/20/16,98.78,99.16,97.66,98.25,4736762
2016,9/21/16,96.9,97.1,93.26,94.88,20042236
2016,9/22/16,95.54,95.88,94.23,95.83,11214973
2016,9/23/16,95.75,96.97,95.43,95.94,6179471
2016,9/26/16,95.38,95.38,94.04,94.56,6739188
2016,9/27/16,95.04,97.64,95,97.07,9680100
2016,9/28/16,97.1,97.59,96.02,97.48,7235109
2016,9/29/16,97.31,98.31,96.6,96.67,6217636
2016,9/30/16,96.9,99.53,96.79,98.55,9807925
2016,10/3/16,98,103.39,98,102.63,15344490
2016,10/4/16,103.19,104.44,101.86,102.34,12143104
2016,10/5/16,103.5,106.97,103.4301,106.28,12942880
2016,10/6/16,104.97,105.47,103.88,105.07,6587738
2016,10/7/16,103.98,106.5,103.5501,104.82,8659518
2016,10/10/16,103.18,104.53,102.76,103.33,6699653
2016,10/11/16,102.31,102.9,99.86,100.59,9032854
2016,10/12/16,100.88,102.47,99.22,99.5,7426504
2016,10/13/16,98.01,100.5,97.63,100.23,8319333
2016,10/14/16,101.59,102.099,100.35,101.47,9531056
2016,10/17/16,100.5,100.73,98.38,99.8,26589483
2016,10/18/16,116.63,119.82,116.5,118.79,42168221
2016,10/19/16,118.25,122.45,118,121.87,21981734
2016,10/20/16,121.97,123.75,121.06,123.35,14492827
2016,10/21/16,122.5,127.85,122.31,127.5,18832428
2016,10/24/16,127.42,129.29,126.15,127.33,15980674
2016,10/25/16,126.52,128.06,125.75,126.51,8253941
2016,10/26/16,126.29,128.72,125.75,126.97,8602407
2016,10/27/16,127.43,128.18,125.93,126.47,6914182
2016,10/28/16,126.08,128.93,126.0118,126.57,7077252
2016,10/31/16,126.85,126.9,124.4,124.87,6517512
2016,11/1/16,124.98,125.83,121.8,123.3,6978621
2016,11/2/16,122.83,124.07,121.83,122.34,4816526
2016,11/3/16,122.31,123.72,121.84,122.14,5041321
2016,11/4/16,122,123.43,121.62,122.03,5077719
2016,11/7/16,124.26,125.75,123.37,124.58,5827126
2016,11/8/16,124.12,125.81,123.22,124.34,4690756
2016,11/9/16,121.84,123.65,120.8611,122.19,7705673
2016,11/10/16,122.76,122.97,113.7,115.42,19718703
2016,11/11/16,114.9,116.63,113.11,114.78,11080251
2016,11/14/16,114.75,115.9,110.68,113.38,9932379
2016,11/15/16,114.55,116.41,113.091,113.59,7445094
2016,11/16/16,112.96,116.12,111.81,115.19,5933728
2016,11/17/16,112.89,116.81,113.56,115.03,6232744
2016,11/18/16,115.73,116.42,113.51,115.21,6746783
2016,11/21/16,116.2,118.72,116.19,117.96,7064528
2016,11/22/16,118.32,119.46,116.98,118.04,7007188
2016,11/23/16,117.76,118.89,117.31,117.69,4521314
2016,11/25/16,117.64,118.39,117.18,117.41,1616260
2016,11/28/16,117.05,117.62,115.71,116.93,5278861
2016,11/29/16,117.3,119.18,117.1316,117.51,7082264
2016,11/30/16,119,120.37,116.3913,117,7715103
2016,12/1/16,117.52,118.68,113.95,117.22,8636943
2016,12/2/16,116.75,120.98,116.75,120.81,8953590
2016,12/5/16,120.73,120.75,118.4,119.16,7626283
2016,12/6/16,120.1,124.79,119.42,124.57,11513209
2016,12/7/16,124.48,125.75,123.25,125.39,8204687
2016,12/8/16,125.4,126.35,122.16,123.24,8987712
2016,12/9/16,123.78,124.3,121.73,122.88,4700783
2016,12/12/16,122.84,124.03,122.3,122.83,3917605
2016,12/13/16,123.51,125.09,122.7809,123.78,5564509
2016,12/14/16,123.43,124.4,122.5,123.44,6110273
2016,12/15/16,123.44,127.43,122.95,125,7376184
2016,12/16/16,126.39,126.68,124.01,124.22,7867975
2016,12/19/16,124.3,126.44,122.87,125.45,4867276
2016,12/20/16,125.46,126.3,124.64,125.12,3937812
2016,12/21/16,125.53,127.7372,125,126.5,6514793
2016,12/22/16,126.84,127.5,125.18,125.58,4161410
2016,12/23/16,125.61,126.28,125.08,125.59,2010382
2016,12/27/16,126.24,129.05,125.7,128.35,5288164
2016,12/28/16,129.07,129.07,125.76,125.89,4389162
2016,12/29/16,125.95,126.14,124.2,125.33,3445056
2016,12/30/16,126.24,126.57,123.6,123.8,4455351
2017,1/3/17,124.96,128.19,124.31,127.49,9437856
2017,1/4/17,127.49,130.17,126.55,129.41,7843559
2017,1/5/17,129.22,132.75,128.9,131.81,10185516
2017,1/6/17,132.08,133.88,129.81,131.07,10657878
2017,1/9/17,131.48,131.99,129.89,130.95,5771835
2017,1/10/17,131.27,132.22,129.29,129.89,5985809
2017,1/11/17,130.91,131.5,129.2475,130.5,5615061
2017,1/12/17,130.63,130.85,128.5,129.18,5388880
2017,1/13/17,131.15,133.93,130.58,133.7,10515015
2017,1/17/17,135.04,135.4,132.09,132.89,12220202
2017,1/18/17,133.21,133.65,131.06,133.26,16168617
2017,1/19/17,142.01,143.46,138.25,138.41,23203441
2017,1/20/17,139.36,140.79,137.66,138.6,9497394
2017,1/23/17,138.65,139.49,137.31,137.39,7433896
2017,1/24/17,138.11,140.93,137.03,140.11,7754673
2017,1/25/17,140.8,141.39,139.05,139.52,7612888
2017,1/26/17,140.45,141.21,138.51,138.96,6038313
2017,1/27/17,139.46,142.49,139,142.45,8323866
2017,1/30/17,141.77,141.967,138.8,141.22,8122481
2017,1/31/17,140.55,141.83,139.7,140.71,4411631
2017,2/1/17,141.2,142.41,139.3,140.78,6033422
2017,2/2/17,140.61,141.04,139.05,139.2,3462370
2017,2/3/17,139.51,140.64,139.1,140.25,3512568
2017,2/6/17,140,141,139.16,140.97,3552066
2017,2/7/17,141.49,144.28,141.05,144,8573515
2017,2/8/17,143.57,145.07,142.56,144.74,6887050
2017,2/9/17,144.98,145.09,143.58,144.14,4555119
2017,2/10/17,144.68,145.2992,143.97,144.82,6171936
2017,2/13/17,145.19,145.95,143.05,143.2,4790435
2017,2/14/17,143.2,144.11,140.05,140.82,8367786
2017,2/15/17,140.72,142.43,140.51,142.27,5309050
2017,2/16/17,142.42,142.44,141.07,142.01,2847496
2017,2/17/17,141.75,142.9,141.27,142.22,4588073
2017,2/21/17,142.99,143.38,141.81,142.6,3571481
2017,2/22/17,142.92,144,142.17,143.86,3481968
2017,2/23/17,144.45,144.49,141.5196,142.78,4667978
2017,2/24/17,141.88,143.56,141.55,143.25,3302714
2017,2/27/17,143.12,143.92,142.38,143.41,3907377
2017,2/28/17,143.3,143.57,141.85,142.13,3862221
2017,3/1/17,142.84,143.26,142.1,142.65,4170649
2017,3/2/17,142.15,142.7,139.09,139.53,6119945
2017,3/3/17,139.69,140.91,138.26,139.14,5401104
2017,3/6/17,141,142.84,140.54,141.94,7116118
2017,3/7/17,141.99,142.4,140.38,141.43,4241037
2017,3/8/17,141.47,142.06,139.7704,140.32,4092550
2017,3/9/17,140.04,141.24,139.74,140.53,2652740
2017,3/10/17,141.39,141.8,140.28,140.89,3318464
2017,3/13/17,140.9,143.71,140.321,143.52,4922432
2017,3/14/17,142.95,143.31,141.7,143.19,4660294
2017,3/15/17,144.2,145.52,143.23,145.25,5987198
2017,3/16/17,145.5,146.5,144.22,144.39,5286456
2017,3/17/17,144.05,145.76,143.4,145.11,6281316
2017,3/20/17,145.45,146.25,144.58,145.83,3421046
2017,3/21/17,146.75,147.7,142.1,142.42,7669753
2017,3/22/17,142.545,143.8,140.76,142.65,6486893
2017,3/23/17,142.14,142.89,141.26,141.84,3712625
2017,3/24/17,142.36,142.8,141.58,142.02,3546599
2017,3/27/17,140.83,144.39,140,144.06,4771650
2017,3/28/17,144.1,146.11,143.92,145.17,4638003
2017,3/29/17,145.5,147.18,144.9089,146.47,3855031
2017,3/30/17,146.81,148.29,146.53,148.06,4461068
2017,3/31/17,148,148.225,147.33,147.81,3888237
2017,4/3/17,146.7,148.005,145.74,146.92,4609336
2017,4/4/17,146.84,147.09,144.89,145.5,4368919
2017,4/5/17,146.19,146.25,143.26,143.62,4607636
2017,4/6/17,144,144.14,143.01,143.74,3312410
2017,4/7/17,143.79,143.89,142.71,143.11,3032571
2017,4/10/17,143.04,144.65,141.21,143.85,5807440
2017,4/11/17,144.28,144.54,141.98,144.35,4621451
2017,4/12/17,144.85,145.74,143.55,143.83,4386954
2017,4/13/17,144.25,144.55,142.76,142.92,3685789
2017,4/17/17,144.43,147.32,144.43,147.25,16364743
2017,4/18/17,147.34,147.4,140,143.36,19670975
2017,4/19/17,143.37,144,138.66,139.76,12395064
2017,4/20/17,140.3,141.8,139.27,141.18,7248180
